C,Hpep,Dec,D,L
0.0001147,0.976833599998302,0.0001199,0.009903099999999,0.013028699999999
0.0056376,0.9538861999984,0.0001838,0.035005700000002,0.0052867
0.0066408,0.993019599998253,0.0001387,9.92000000000015E-05,0.0001017
0.086310599999996,0.741877199999186,0.076688900000004,0.032746399999999,0.062376900000006
0.0001162,0.999372799998197,0.0001387,0.000122,0.0002503
0.035451800000001,0.892850099998608,0.0062877,0.057569900000007,0.0078405
9.10000000000014E-05,0.999541499998215,0.0001558,7.7400000000001E-05,0.0001343
0.013497699999999,0.57317150000004,0.133309799999995,0.177852100000044,0.1021689
0.0115775,0.662326499999645,0.089204299999999,0.174022500000034,0.062869200000006
0.0001052,0.851298499998836,0.06600740000001,0.008567099999999,0.074021800000006
0.0057417,0.72832359999936,0.051168500000004,0.14608560000001,0.068680600000009
0.0191455,0.797529899999069,0.052865500000009,0.076817100000004,0.053642000000009
0.0001003,0.999475699998206,0.0001236,0.000165,0.0001354
0.0001421,0.999507399998207,0.0001609,8.71000000000013E-05,0.0001025
0.0001368,0.999467999998215,9.92000000000016E-05,0.0001413,0.0001547
0.0280018,0.684668399999566,0.114040199999989,0.036477300000001,0.136812299999999
7.79000000000011E-05,0.999548699998202,0.0001246,9.24000000000014E-05,0.0001564
0.0001087,0.999564599998176,0.0001306,0.0001028,9.33000000000014E-05
0.059285200000005,0.273274200000139,0.095441800000003,0.23569620000009,0.336302600000173
0.0178022,0.901573999998613,0.016258699999999,0.044357300000005,0.0200078
0.062369200000003,0.858477799998846,0.0001007,0.040368600000005,0.038683700000003
0.056495700000009,0.615621999999877,0.026097299999999,0.148417600000007,0.153367400000015
0.018760199999999,0.838640399998889,0.040516200000004,0.060811900000008,0.041271300000006
7.30000000000009E-05,0.999516999998207,0.000144,0.000125,0.000141
0.0001128,0.999529199998207,7.03000000000009E-05,0.0001113,0.0001764
8.60000000000013E-05,0.999639899998179,8.76000000000013E-05,8.79000000000013E-05,9.86000000000016E-05
0.025510000000001,0.710187099999402,0.038401500000002,0.118122399999986,0.107778999999991
9.79000000000015E-05,0.999540399998184,0.0001332,9.29000000000014E-05,0.0001356
0.0001254,0.999558399998178,0.0001031,6.75000000000008E-05,0.0001456
0.051711000000001,0.481798100000348,0.086956500000003,0.288357300000134,0.091177100000001
0.068605300000002,0.713771499999375,0.105165799999994,0.026617999999999,0.085839399999999
0.016505599999999,0.707548099999464,0.165086400000027,0.038194100000004,0.07266580000001
0.019879300000001,0.961852199998322,0.010076,0.0066314,0.0015611
9.06000000000014E-05,0.784970499999128,9.32000000000014E-05,0.0002896,0.21455610000007
0.0040948,0.746331199999314,0.0086408,0.201876800000056,0.039056400000002
0.0001055,0.999623399998182,7.3800000000001E-05,8.58000000000012E-05,0.0001115
8.19000000000012E-05,0.999550199998201,0.0001334,0.0001317,0.0001028
9.35000000000014E-05,0.999514499998157,8.16000000000011E-05,0.0001048,0.0002056
0.035791100000003,0.631618499999796,0.058779700000009,0.129401999999987,0.144408700000005
0.0001169,0.999599199998182,5.96000000000006E-05,0.0001441,8.02000000000011E-05
0.089237400000001,0.299047400000167,0.116402499999998,0.286199700000133,0.20911300000007
0.073872900000001,0.634140799999755,0.117413099999991,0.11328179999999,0.061291400000009
8.94000000000013E-05,0.999578199998178,8.13000000000011E-05,0.0001114,0.0001397
0.0293919,0.439269500000294,0.147985000000012,0.25901060000011,0.124342999999993
8.03000000000011E-05,0.99939479999823,0.0001448,0.0002211,0.000159
0.132407299999991,0.363087900000231,0.078953300000006,0.242755000000097,0.182796500000033
0.01531,0.839520099998848,0.0131372,0.126676699999986,0.005356
0.056788800000003,0.064282700000008,0.221479000000071,0.367920400000215,0.289529100000115
9.28000000000014E-05,0.999549399998207,0.0001479,0.000138,7.19000000000009E-05
0.0040985,0.40017250000025,0.255004300000122,0.154867700000018,0.185857000000042
0.0262589,0.668001299999621,0.038980800000005,0.058504800000006,0.208254200000055
0.029952,0.425433800000278,0.1058645,0.157715000000022,0.281034700000133
0.0147204,0.975357099998304,0.0049339,0.0001961,0.0047925
0.0001241,0.847900899998832,0.037480100000002,0.093034,0.021460899999999
9.43000000000015E-05,0.999605099998171,7.12000000000009E-05,0.000114,0.0001154
0.138478199999993,0.39796750000029,0.120867999999993,0.210006600000066,0.132679699999992
0.015463899999999,0.911420499998578,0.0001048,0.024329399999999,0.048681400000007
0.0001152,0.999495199998159,0.0001339,0.00016,9.57000000000015E-05
0.0001215,0.999547699998205,8.42000000000012E-05,9.72000000000015E-05,0.0001494
0.031867900000001,0.525980800000252,0.134190999999994,0.095863799999998,0.212096500000063
0.065674199999999,0.517564600000145,0.058930900000006,0.241813900000097,0.116016399999988
0.028815999999999,0.223952800000081,0.293559100000141,0.15788880000001,0.29578330000014
0.0001238,0.9714358999983,9.36000000000014E-05,0.0002244,0.028122299999999
0.0017865,0.874506899998746,0.082058500000002,0.0047704,0.036877700000001
0.0116072,0.833971299998895,0.134707799999994,0.0085098,0.0112039
0.133150499999991,0.127542299999986,0.083693400000009,0.405453200000241,0.25016060000009
0.0227524,0.918626799998458,8.71000000000013E-05,0.028834799999999,0.029698899999999
0.075306700000003,0.074744000000003,0.243130800000095,0.366258600000225,0.240559900000091
0.0213103,0.881600699998713,0.0001329,0.084125600000002,0.012830499999999
0.0001403,0.99953389999819,0.0001425,0.0001072,7.6100000000001E-05
0.025037700000001,0.898581699998552,0.065135500000009,0.0096685,0.0015766
0.107204600000002,0.162959400000024,0.249324800000099,0.239076500000074,0.241434700000081
0.112657599999987,0.342939600000222,0.205231500000064,0.225664600000079,0.113506699999994
0.039640000000002,0.637313599999761,0.038040200000002,0.188635600000046,0.096370599999998
0.0001515,0.999415799998214,0.0001443,0.0001013,0.0001871
9.56000000000015E-05,0.999551499998181,7.7400000000001E-05,8.73000000000013E-05,0.0001882
0.0001403,0.999519199998203,0.0001155,0.0001113,0.0001137
5.48000000000005E-05,0.999618999998165,9.17000000000014E-05,0.000116,0.0001185
0.0001349,0.999558299998201,0.0001036,0.0001045,9.87000000000016E-05
6.39000000000007E-05,0.99953939999819,0.000168,0.0001107,0.000118
0.060931800000005,0.81985549999904,0.011887799999999,0.077176000000003,0.030148899999999
0.039488200000001,0.463590900000325,0.194692400000058,0.097208700000001,0.205019800000061
0.0001079,0.999539599998208,0.0001154,9.99000000000016E-05,0.0001372
9.24000000000014E-05,0.999607199998136,8.45000000000012E-05,9.74000000000015E-05,0.0001185
0.0210295,0.903724899998628,0.0001723,0.063336400000009,0.0117369
0.0033394,0.833149999998913,0.027965799999999,0.106076199999992,0.0294686
0.0001093,0.907744599998551,0.0001015,0.080076600000006,0.011967999999999
0.0259726,0.834949799998921,0.085649199999999,0.019550799999999,0.033877600000001
0.072044799999996,0.639248599999784,0.037098000000003,0.073382900000005,0.17822570000004
0.0001323,0.999415199998255,0.0001815,0.0001398,0.0001312
0.0254374,0.93978299999851,0.0001706,0.024983999999999,0.009624999999999
0.095183399999995,0.403575700000271,0.062573600000009,0.275519100000116,0.16314820000002
0.0158362,0.697867599999502,0.06577670000001,0.151582400000014,0.068937100000008
0.0001266,0.999480099998215,0.0001318,0.0001471,0.0001144
8.80000000000013E-05,0.999657999998123,5.09000000000004E-05,8.98000000000013E-05,0.0001133
0.086454900000002,0.305290200000179,0.179467300000044,0.307363300000166,0.121424299999994
0.068100900000009,0.450722300000305,0.132525599999992,0.085155000000002,0.263496200000112
0.0259174,0.917451599998559,3.82000000000001E-05,0.009339899999999,0.047252900000005
0.037748100000001,0.861559399998689,0.032540599999999,0.0256516,0.042500300000001
0.014587599999999,0.584156699999987,0.120426699999987,0.122529999999988,0.158299000000016
0.0296818,0.665243399999607,0.072226300000006,0.121521199999993,0.111327299999997
0.029505499999999,0.442834500000297,0.064143200000011,0.305856300000163,0.157660500000014
0.0065041,0.945735199998472,0.0001521,0.0179554,0.029653199999999
0.0136444,0.760781799999192,0.068205700000006,0.085379900000008,0.071988200000007
0.078071699999996,0.78923019999887,0.068786800000005,0.049171300000004,0.01474
0.0001511,0.961321299998367,0.0001362,8.62000000000013E-05,0.038305200000003
