C,Hpop,Dec,D,L
0.0204954,0.103989799999994,0.151075300000016,0.402197900000233,0.322241600000158
0.142589899999998,0.037490000000002,0.277617200000132,0.207651600000055,0.334651300000185
0.189655900000047,0.039545100000001,0.22087100000008,0.307781300000149,0.242146700000079
0.148827200000009,0.077211300000012,0.197155900000049,0.344756800000184,0.232048800000065
0.039878200000001,0.053159100000005,0.319512200000171,0.416155900000256,0.171294600000033
0.086339900000002,0.026182599999999,0.162566100000023,0.256608600000095,0.468302800000297
0.111879699999991,0.065962700000008,0.283173400000135,0.346346500000192,0.192637700000037
0.051083900000004,0.088674899999999,0.259752300000117,0.331442300000165,0.269046600000109
0.15896980000002,0.024359199999999,0.16211860000002,0.434818400000276,0.219734000000073
0.112206099999999,0.074554400000008,0.161362600000019,0.286649400000123,0.365227500000195
0.0046271,0.0258521,0.26792710000012,0.425493700000279,0.276100000000131
0.12002089999999,0.065818100000009,0.406198800000247,0.230526300000091,0.177435900000034
0.024382299999999,0.0354475,0.233074500000092,0.412855300000248,0.294240400000129
0.0896721,0.058528900000004,0.121645499999988,0.364590100000203,0.365563400000207
0.050144400000005,0.010760299999999,0.579815599999998,0.252806800000094,0.106472899999993
0.021104199999999,0.118250999999994,0.321977100000184,0.311709000000161,0.226958700000072
0.091214499999996,0.093653199999996,0.277712900000124,0.215264400000068,0.322155000000162
0.062938100000006,0.003943,0.146479400000009,0.506765500000299,0.279874000000118
0.177373300000036,0.038389400000002,0.28599700000013,0.292390000000121,0.205850300000055
0.064497700000008,0.055910500000005,0.19546880000006,0.440782000000277,0.243341000000093
0.145765500000004,0.071129100000007,0.198976800000058,0.36576700000021,0.218361600000073
0.087089900000004,0.079196600000002,0.127328499999994,0.423849000000255,0.282536000000139
0.154924400000012,0.0355641,0.210595000000063,0.27892520000014,0.319991300000159
0.018390999999999,0.102428099999994,0.349546400000191,0.354070000000192,0.175564500000031
0.151422500000014,0.052419000000005,0.144602600000006,0.36078170000021,0.290774200000133
0.040291100000002,0.088505400000005,0.351228400000205,0.356652400000188,0.163322700000012
0.095819599999994,0.032653500000001,0.34004650000018,0.307964000000152,0.223516400000068
0.052584000000005,0.0042668,0.249160500000104,0.237699700000084,0.456289000000278
0.042600600000001,0.046590400000003,0.315927300000159,0.28877780000013,0.306103900000154
0.047474300000004,0.081080600000004,0.226800100000078,0.359640000000207,0.285005000000119
0.066061900000011,0.054873800000006,0.232252900000091,0.427923800000259,0.218887600000067
0.118695899999989,0.037626800000002,0.295873200000132,0.278101900000111,0.269702200000105
0.0271264,0.041125800000002,0.364041900000216,0.352490100000197,0.21521580000006
0.052586000000006,0.0041281,0.173857800000036,0.507611800000299,0.261816300000099
0.093514900000006,0.000101,0.338282900000185,0.235697800000077,0.33240340000017
0.102853799999994,0.062006900000007,0.108619599999995,0.394109600000223,0.332410100000168
0.028806899999999,0.060346400000007,0.201485100000058,0.297876800000142,0.411484800000238
0.146300800000011,0.094120999999996,0.126614499999991,0.340152700000173,0.292811000000133
0.081631000000002,0.076883900000005,0.3473208000002,0.2406691000001,0.253495200000089
0.0130425,0.015068099999999,0.341375100000187,0.412487100000247,0.218027200000082
0.134837099999991,0.0019884,0.203492800000052,0.471743300000307,0.187938400000047
0.105009899999995,0.020181399999999,0.254142600000116,0.381120200000217,0.239545900000092
0.028291599999999,0.0001507,0.311068100000166,0.491360000000332,0.169129600000025
0.020983799999999,0.0001477,0.380290200000232,0.357234400000194,0.24134390000009
0.099040100000001,0.066009000000008,0.294925300000146,0.331588400000186,0.208437200000053
0.063034800000008,0.008439299999999,0.526607300000245,0.211285100000062,0.190633500000052
0.045245400000003,0.032616400000002,0.334362400000178,0.412634900000254,0.175140900000024
0.078765400000003,0.026508099999999,0.314230600000162,0.275224200000116,0.305271700000154
0.070009400000007,0.040676600000003,0.319280500000166,0.285407900000127,0.284625600000135
0.140412899999992,0.0098835,0.185640200000047,0.268464200000128,0.395599200000233
0.101426199999995,0.109143199999992,0.341686100000198,0.277521700000123,0.170222800000029
0.0374555,0.024596299999999,0.220555400000078,0.31592470000016,0.40146810000025
0.099896599999996,0.0121067,0.264200500000112,0.438858100000273,0.184938100000035
0.087492100000001,0.029855799999999,0.284556400000137,0.45584990000031,0.142245799999999
0.0083907,0.017829499999999,0.229582500000086,0.568024500000058,0.176172800000029
0.035532900000001,0.0065326,0.188625300000058,0.412518600000255,0.356790600000194
0.055243200000007,0.060435500000008,0.220221400000079,0.265263500000112,0.398836400000233
0.110682399999997,0.024538599999999,0.163566500000019,0.503271100000339,0.197941400000037
0.057252200000006,0.104733499999998,0.175818700000031,0.392763900000237,0.269431700000114
0.109022299999993,0.118355999999988,0.14896080000001,0.21437690000008,0.409284000000252
0.083378400000004,0.015586599999999,0.361927200000217,0.350697700000199,0.188410100000045
0.070718100000002,0.14527010000001,0.243656500000097,0.29789990000015,0.24245540000008
0.050711700000005,0.141979799999998,0.277907900000127,0.28787140000014,0.241529200000085
0.059345600000007,0.101367399999994,0.285956400000136,0.295148200000143,0.258182400000113
0.056964600000006,0.049480600000004,0.135306900000003,0.459897000000299,0.298350900000135
0.100282899999996,0.063791400000007,0.286720200000136,0.253626500000102,0.295579000000136
0.097205799999996,0.0064868,0.250958400000102,0.353127000000195,0.292222000000128
0.059992800000006,0.040387400000005,0.334517100000186,0.333694100000175,0.231408600000087
0.038209200000002,0.025708299999999,0.512855100000305,0.263935200000109,0.159292200000023
0.0278944,0.055106900000006,0.43333180000026,0.220326400000068,0.263340500000092
0.082318800000004,0.180558700000036,0.136280899999992,0.357928400000197,0.242913200000081
0.0069899,0.0156103,0.343055300000194,0.326893000000184,0.307451500000157
0.126830999999989,0.008470099999999,0.376725900000215,0.224988300000066,0.26298470000011
0.055167100000006,0.018535599999999,0.313221200000162,0.441629200000281,0.171446900000023
0.059398600000007,0.079299700000005,0.181226700000042,0.365870000000215,0.314205000000156
0.046706000000005,0.0360687,0.326263000000171,0.435911000000271,0.15505130000002
0.0153809,0.067018100000006,0.197275600000048,0.305493800000139,0.414831600000254
0.0369598,0.054695200000008,0.32425050000017,0.417497700000264,0.166596800000011
0.057372500000006,0.035458100000001,0.454111600000305,0.202102500000044,0.250955300000099
0.127997799999987,0.0026096,0.330718700000187,0.200795600000058,0.33787830000018
0.081086000000005,0.062433700000008,0.219838500000075,0.438597100000277,0.198044700000042
0.188784500000046,0.0058328,0.219035400000081,0.44846520000028,0.137882100000005
0.097013000000002,0.0084448,0.316362100000166,0.435314100000269,0.142865999999998
0.059861300000006,0.044452300000005,0.215226800000073,0.190198800000048,0.490260800000331
0.052829200000004,0.093446599999996,0.393304400000237,0.118594899999994,0.341824900000176
0.059304200000005,0.050298200000004,0.343274600000184,0.327011700000159,0.220111300000077
0.0047281,0.070441400000006,0.21054030000007,0.42391820000026,0.290372000000133
0.0033129,6.42000000000007E-05,0.358054700000207,0.350333200000191,0.288235000000133
0.095921899999999,0.049261100000004,0.338587500000181,0.348332500000185,0.167897000000022
0.194901400000048,0.036017900000003,0.160007900000015,0.249631500000097,0.359441300000198
0.071421700000005,0.125768399999985,0.083069100000004,0.274384000000113,0.445356800000281
0.149786900000006,6.64000000000008E-05,0.195349600000055,0.376047700000213,0.278749400000115
0.050291700000005,0.120002099999988,0.225072000000079,0.233129700000081,0.371504500000208
0.0343579,0.039523900000003,0.304889000000147,0.308492000000153,0.312737200000146
0.134257599999993,0.0375843,0.069753600000006,0.382600900000217,0.375803600000201
0.0922523,0.031313000000001,0.20359330000006,0.394491700000246,0.278349700000127
0.112048399999992,0.0064752,0.205082200000062,0.38341630000022,0.29297790000013
0.090345899999999,0.005343,0.329589300000173,0.264844200000118,0.309877600000145
0.097286899999999,0.008983399999999,0.218170200000075,0.431884700000279,0.243674800000093
0.038176100000001,0.122619799999991,0.299801300000144,0.2553126000001,0.284090200000134
0.042010200000003,0.111628899999997,0.405356600000247,0.305445800000145,0.1355585
0.084020800000001,0.036821100000001,0.15606060000002,0.278542800000111,0.444554700000279
0.086881500000002,0.068926300000005,0.204062900000058,0.420617000000251,0.219512300000076
0.0940898,0.007927599999999,0.169063600000022,0.372767900000207,0.356151100000201
0.040123100000003,0.122849799999988,0.275473800000123,0.22346580000007,0.338087500000178
0.045252400000004,0.0256553,0.274773100000134,0.365251500000198,0.28906770000012
0.055607800000005,0.0149042,0.197320400000057,0.433519300000266,0.298648300000135
0.136167099999994,0.139638899999998,0.191279600000048,0.250782700000105,0.282131700000113
0.030682399999999,0.0184338,0.197083000000056,0.452549900000299,0.301250900000151
0.022860499999999,0.049234600000004,0.143307700000008,0.418896600000252,0.365700600000212
0.044645600000004,0.110188199999991,0.220859700000083,0.415608800000256,0.208697700000053
0.119188099999988,0.051797800000006,0.215502300000071,0.362096300000202,0.251415500000087
0.069724500000008,0.044128700000002,0.311343100000174,0.319410900000148,0.255392800000103
0.034322299999999,0.035160000000002,0.299792300000143,0.374521200000212,0.25620420000009
0.052616700000006,0.027246899999999,0.302228000000158,0.361358300000203,0.256550100000101
0.063066800000009,0.0018145,0.207818400000063,0.299565300000146,0.427735000000264
0.0214244,0.041527400000003,0.396033600000245,0.356078900000202,0.184935700000037
0.070504400000006,0.034829600000001,0.300429000000145,0.39045120000023,0.203785800000049
0.064428500000009,0.039928300000001,0.373203900000218,0.34359060000018,0.178848700000032
0.077613300000008,0.008428499999999,0.326007100000172,0.363427900000203,0.224523200000068
0.043954200000002,0.072614300000006,0.305530200000172,0.400665200000231,0.17723610000003
0.1395951,0.017851199999999,0.12998909999999,0.471071400000312,0.241493200000093
0.054370900000006,0.153287800000008,0.313102200000157,0.147527900000013,0.331711200000161
0.009073799999999,0.130470399999994,0.292852800000147,0.465313900000313,0.102289099999994
0.122255099999986,0.103315899999995,0.191012800000059,0.401887600000218,0.181528600000035
0.0388172,0.074883300000009,0.172873100000031,0.348270200000205,0.365156200000201
0.038141300000001,0.064952600000008,0.249511100000099,0.387508800000236,0.259886200000099
0.101643999999993,0.073492500000004,0.255574800000102,0.329081100000181,0.240207600000095
0.120747999999986,0.192997900000047,0.274046500000125,0.152952500000006,0.259255100000107
0.084003899999999,0.101228599999996,0.14874660000001,0.370974300000211,0.295046600000133
0.0325316,0.0181571,0.419355900000266,0.322880100000163,0.207075300000063
0.0096505,0.138665299999996,0.328639000000181,0.308248900000138,0.214796300000053
0.067718700000008,0.072294600000004,0.242861100000095,0.398106800000241,0.219018800000074
0.105650299999994,0.0029707,0.434985900000288,0.19465820000005,0.261734900000104
0.015938199999999,0.0015718,0.19956720000006,0.585076099999974,0.197846700000056
0.095763000000003,0.037988000000003,0.32118460000017,0.3594679000002,0.18559650000004
0.095908199999996,0.041455000000003,0.250833000000095,0.29759700000014,0.314206800000154
0.133961199999998,0.014802399999999,0.29312140000014,0.430950400000265,0.127164599999989
0.197024600000048,0.136469999999998,0.078108600000003,0.39139390000023,0.197002900000052
0.033077900000002,0.0116991,0.221077600000082,0.507946300000296,0.226199100000072
0.0318721,0.025814199999999,0.14501830000001,0.363537900000204,0.433757500000268
0.149058600000008,0.0008588,0.307308200000168,0.184145300000041,0.358629100000199
0.0204456,0.038836600000002,0.42734750000028,0.209092700000061,0.304277600000151
0.031630799999999,0.108265899999998,0.376935500000231,0.274014200000119,0.20915360000006
0.081053700000004,0.068220800000007,0.18890720000005,0.252339300000104,0.409479000000242
0.205969700000063,0.033736899999999,0.15364930000002,0.337221000000175,0.269423100000105
0.134685399999992,0.087950599999999,0.14739850000001,0.332105700000167,0.297859800000153
0.095995999999999,0.065786400000007,0.258085400000109,0.314527900000161,0.265604300000116
0.112682299999995,0.0001381,0.209968400000065,0.441064700000284,0.236146500000097
0.0202457,0.028466699999999,0.215004800000062,0.446658600000274,0.289624200000127
0.18081640000004,0.043648800000003,0.099623900000006,0.42924520000026,0.246665700000079
0.097037599999997,0.0011237,0.348258400000196,0.293316500000142,0.260263800000109
0.041130000000004,0.088840600000001,0.243098300000096,0.349714700000168,0.277216400000125
0.032942399999999,0.021746799999999,0.343665600000176,0.220721600000075,0.380923600000205
0.132496199999992,0.071967400000008,0.416320800000269,0.271577200000124,0.107638399999992
0.175244400000029,0.034115699999999,0.070066600000009,0.416297800000277,0.304275500000145
0.117300199999994,0.06851700000001,0.205563300000065,0.275960100000116,0.332659400000161
0.067456300000007,0.042799400000003,0.357444500000204,0.289792000000141,0.24250780000008
0.044762100000002,0.096959799999999,0.334420700000194,0.230894200000081,0.292963200000147
0.162868800000011,0.052443400000005,0.169284000000023,0.401018600000246,0.214385200000074
0.105426599999993,0.1101733,0.239935800000096,0.388703900000219,0.15576040000001
0.017876399999999,0.0002994,0.158569400000027,0.597061499999929,0.226193300000066
0.061239600000007,0.053944500000005,0.289516600000138,0.45335290000029,0.141946400000005
0.0237257,0.063448500000008,0.444850500000289,0.214067800000062,0.253907500000102
0.12767339999999,0.021556299999999,0.15619630000001,0.373382700000223,0.321191300000172
0.202926400000064,0.050098500000004,0.180548000000041,0.317568600000157,0.2488585000001
0.072787900000008,0.0003942,0.315032800000162,0.406657200000263,0.205127900000043
0.078796700000006,0.050204300000005,0.316245500000171,0.221786800000071,0.33296670000017
0.052305200000006,0.0106977,0.465766500000311,0.274730900000125,0.196499700000044
0.0148582,0.069884800000011,0.15087130000002,0.468646500000302,0.295739200000141
0.088281100000005,0.0003564,0.462042100000312,0.194848600000041,0.25447180000009
0.054855500000005,0.121127599999997,0.444092100000298,0.220015100000061,0.159909700000026
0.0318606,0.128740199999986,0.286159000000134,0.30687390000016,0.246366300000092
0.129018499999995,0.053748500000005,0.142581600000002,0.430962800000276,0.243688600000095
0.182914500000049,0.0064397,0.263261300000109,0.328257600000178,0.219126900000051
0.071482100000003,0.197075300000059,0.229128700000079,0.296336200000139,0.205977700000055
0.071991600000009,0.103180499999998,0.213120200000079,0.366261900000211,0.245445800000101
0.041227500000001,0.108141,0.2623455000001,0.382400600000228,0.205885400000048
0.065424800000006,0.123433799999991,0.199355800000061,0.27418420000012,0.337601400000166
0.027021799999998,0.057022300000005,0.259940000000099,0.460416200000287,0.19559970000004
