C,D,Int,L,PeP,Dec
0.027095399999999,0.417155700000252,0.0001658,0.145934800000003,0.135606099999994,0.27404220000012
0.162406400000012,0.260890300000115,0.103409799999994,0.237275700000091,0.047331600000003,0.188686200000036
0.070105100000008,0.486458500000326,0.027273799999999,0.131079299999989,0.111392099999991,0.173691200000032
0.038603200000001,0.317131600000156,0.125832599999988,0.146280200000013,0.013833,0.358319400000213
0.0321469,0.337308100000182,0.051501500000004,0.229182400000083,0.21593810000007,0.133922999999992
0.024628199999999,0.346453500000175,0.106797400000001,0.215593000000073,0.167423100000018,0.139104799999999
0.030985599999999,0.384632200000225,0.0002007,0.221029200000071,0.172113600000029,0.191038700000047
0.116947699999988,0.301989000000146,0.056108000000007,0.281191200000122,0.053572500000006,0.190191600000038
0.103631199999992,0.351714200000206,0.0033911,0.078496700000006,0.268037800000127,0.194729000000047
0.0149355,0.40065840000024,0.0211282,0.251276400000102,0.055184400000003,0.256817100000107
0.0039923,0.185055800000045,0.0026634,0.25554860000011,0.223861500000084,0.32887840000018
0.000107,0.29588460000014,0.0002214,0.151711500000009,0.261682500000113,0.290393000000137
0.0089497,0.384833300000227,0.0001072,0.15841590000001,0.116262799999991,0.331431100000189
0.0147092,0.48543900000033,0.077730900000004,0.2488271000001,0.080081800000004,0.093212000000001
0.0020506,0.292258100000148,0.0017225,0.210320500000051,0.185768600000038,0.307879700000147
0.057699500000007,0.42942760000028,0.173155900000035,0.106673199999994,0.039391900000003,0.193651900000046
0.0139131,0.195206200000053,0.135534199999995,0.376730400000215,0.065927100000009,0.212689000000078
0.086454899999998,0.296420200000136,0.0135248,0.315049200000155,0.0118908,0.276660100000121
0.026005199999999,0.359803500000203,0.117651200000006,0.144079899999999,0.078242899999998,0.274217300000129
0.082273299999999,0.29898860000015,0.0171257,0.266196600000111,0.228390200000065,0.107025600000002
0.035460800000001,0.168468600000021,0.137251499999993,0.127518399999991,0.06801000000001,0.463290700000304
0.122983799999986,0.26667500000011,0.065262400000009,0.207775100000057,0.005316,0.331987700000174
0.139975600000002,0.410792000000254,9.18000000000014E-05,0.081876699999999,0.090922500000002,0.276341400000125
0.046449300000003,0.257816100000123,0.0015314,0.110612499999994,0.291711700000142,0.291879000000147
0.0114048,0.281849400000136,0.049615800000005,0.131693699999992,0.371007800000229,0.154428500000008
0.021210799999999,0.461045700000307,0.054699100000005,0.217184900000065,0.094949999999992,0.150909500000019
0.029704199999999,0.449492600000299,0.044054600000004,0.253844200000086,0.151916900000011,0.070987500000005
0.0141125,0.293191400000138,0.056591700000006,0.161326900000007,0.239678000000076,0.235099500000084
0.011024,0.374782600000215,0.075602900000007,0.168722000000024,0.256421100000089,0.113447399999999
0.0352502,0.315425500000179,0.058048700000006,0.229183200000085,0.034829300000001,0.327263100000173
0.025219899999999,0.515230800000278,0.0002886,0.074286600000003,0.026892899999999,0.35808120000022
0.026317999999999,0.289853800000139,0.0001043,0.186052400000042,0.171262200000021,0.326409300000172
0.007952,0.316163100000158,0.049506000000004,0.293442300000134,0.112332599999994,0.220604000000072
0.047409200000004,0.428976700000283,7.4100000000001E-05,0.207231200000061,0.041896600000001,0.274412200000126
0.068191100000008,0.413316600000247,0.040426400000002,0.218852000000059,0.0362718,0.222942100000083
0.018672099999999,0.3675077000002,0.129174999999994,0.156371300000011,0.155311600000014,0.17296230000003
0.113334099999997,0.32950940000017,0.029817599999999,0.239667500000092,0.061889900000007,0.225781500000085
0.0059851,0.366426200000214,0.0001501,0.0871798,0.190957900000042,0.349300900000195
0.021567,0.428762200000273,0.0001505,0.202810300000051,0.0015737,0.345136300000203
0.108962099999999,0.370710200000206,0.0008691,0.160903700000025,0.023892799999999,0.334662100000179
0.044383700000003,0.2574542000001,0.097577800000001,0.25465980000009,0.129729099999987,0.216195400000065
0.125099999999986,0.39356800000023,0.056110500000007,0.101563799999996,0.146300299999999,0.177357400000038
0.018939599999999,0.427241800000269,0.026949399999999,0.17160050000002,0.0001504,0.3551183000002
0.046358900000004,0.322802200000158,0.063710100000009,0.15803560000001,0.13372149999999,0.275371700000135
0.0177657,0.382251800000222,0.0110066,0.362658600000205,0.092838099999998,0.133479200000004
0.103880499999998,0.384252300000222,0.018717899999999,0.246507300000084,0.112462599999993,0.134179399999996
0.0039765,0.402530400000232,0.0111807,0.166914100000012,0.122947799999989,0.292450500000141
