C,D,PoP,L,PeP,Dec
0.104002299999991,0.206199800000049,0.0097404,0.207344800000055,0.134826399999992,0.337886300000188
0.0076698,0.457758500000301,0.038139800000002,0.143598500000007,0.077431700000003,0.275401700000127
0.037696300000001,0.519184500000265,0.0008983,0.146013700000004,0.090625899999999,0.205581300000061
0.0119987,0.300665300000152,0.021404999999999,0.215703700000072,0.042539600000002,0.40768770000025
0.0001131,0.1037548,0.0274495,0.136273699999998,0.155057900000013,0.577351000000009
0.043238800000002,0.282272300000141,0.0105733,0.1514269,0.159503500000009,0.352985200000198
6.99000000000009E-05,0.292044600000137,0.035950500000001,0.180639300000036,0.171659700000034,0.319636000000173
0.039877300000002,0.476360600000325,3.80000000000001E-05,0.124963099999986,0.197681500000049,0.16107950000002
0.0162931,0.402491600000238,0.059611300000006,0.125569199999992,0.145430000000008,0.250604800000106
0.0654516,0.16141820000002,0.014453399999999,0.322665600000167,0.174384500000027,0.261626700000113
0.0001264,0.146341800000013,7.00000000000009E-05,0.085253200000002,0.479841500000329,0.288367100000143
0.000111,0.337576000000176,6.67000000000008E-05,0.145638400000005,0.067290900000006,0.449317000000293
6.39000000000007E-05,0.28302430000013,0.099165199999995,0.083556400000002,0.236118200000088,0.298072000000144
8.14000000000011E-05,0.246968200000094,0.040501400000003,0.194259900000048,0.057298300000005,0.460890800000301
9.01000000000014E-05,0.403871800000252,0.0001132,0.150547900000008,0.112098799999988,0.333278200000186
0.0213783,0.204448000000063,0.10817079999999,0.129724999999989,0.360380200000207,0.175897700000035
0.0001821,0.287017900000137,0.057708700000009,0.183479400000032,0.162865400000019,0.308746500000143
0.0614185,0.444041700000292,0.022846199999999,0.218953600000062,0.023996799999999,0.228743200000077
0.079369900000011,0.269785700000115,0.044369800000004,0.183022300000043,0.105834499999992,0.317617800000168
0.0107601,0.33003840000019,0.0117503,0.232204400000083,0.149433700000006,0.265813100000112
0.065288999999999,0.380823700000224,0.020840199999999,0.198123300000041,0.102682699999996,0.232241100000088
0.025473299999999,0.463734000000317,8.1200000000001E-05,0.198891100000047,0.0828151,0.229005300000082
7.81000000000011E-05,0.256550100000098,8.76000000000013E-05,0.120840299999993,0.390162700000237,0.232281200000082
0.027810899999999,0.2521698000001,0.0001009,0.107964699999993,0.46272050000031,0.149233200000012
0.0015308,0.228468400000089,0.0120391,0.240081000000087,0.081243000000003,0.43663770000027
0.0280983,0.314103900000153,0.037823000000001,0.106058399999992,0.276090400000135,0.237826000000092
0.0032365,0.371170000000217,0.06551270000001,0.085643299999996,0.249731100000101,0.224706400000082
0.024873900000001,0.414635900000251,0.036526800000002,0.203275200000047,0.100521999999995,0.220166200000072
0.0001006,0.513990000000272,0.0153058,0.153605600000014,0.126809599999985,0.190188400000053
0.039226200000001,0.303768500000139,0.021429099999999,0.209825800000059,0.0143653,0.411385100000259
0.0128346,0.504480200000334,0.024694699999999,0.219836600000069,0.059004000000009,0.179149900000034
0.0160493,0.291399900000132,4.38000000000002E-05,0.244057800000091,0.245696600000102,0.202752600000063
9.62000000000011E-05,0.148245500000005,0.009835,0.27127610000013,0.327116300000168,0.243430900000097
0.0152408,0.32185930000016,0.056828200000006,0.1466031,0.204267900000056,0.255200700000109
0.022062999999999,0.329739000000173,0.051409200000005,0.145709500000002,0.168702500000032,0.282376800000131
0.0204013,0.290009500000132,0.015964399999999,0.222409100000068,0.280190300000134,0.171025400000038
0.104890899999994,0.269550400000121,0.0092388,0.145924000000003,0.0862378,0.38415810000023
0.0001227,0.242897000000103,0.0234401,0.208981000000061,0.241374800000099,0.283184400000129
0.063709900000004,0.142843399999999,0.0061539,0.224185700000064,0.127059899999984,0.436047200000278
0.0001105,0.29588610000014,0.022614599999999,0.232269000000087,0.119711799999991,0.329408000000186
0.033369100000001,0.380514600000213,0.075899500000004,0.197358500000052,0.0003449,0.312513400000158
0.088403700000015,0.54072630000016,0.029711899999998,0.167513500000025,0.0001932,0.173451400000029
0.0400251,0.307631300000142,0.0031385,0.142557600000009,0.16183410000001,0.344813400000191
0.0090255,0.465978300000312,0.0001198,0.182179300000037,0.168325400000026,0.174371700000035
0.010830299999999,0.588410499999951,0.0160619,0.145024299999999,0.085978900000001,0.153694100000009
5.34000000000005E-05,0.203819800000061,0.0029106,0.359572300000204,0.186615700000047,0.247028200000093
0.060796400000002,0.276946900000107,0.006354399999999,0.278416900000103,0.099907099999999,0.277578300000127
0.0258212,0.139491799999994,0.0089272,0.120455299999992,0.242486200000087,0.462818300000304
0.016365799999999,0.262261400000124,0.0051693,0.240486800000098,0.081939300000001,0.393777400000238
0.0064006,0.479831700000316,0.0001256,0.261733300000105,0.067115600000009,0.184793200000045
8.46000000000012E-05,0.186499700000042,0.0118125,0.056765900000004,0.307926000000163,0.436911300000287
0.020708,0.30272020000014,0.0059491,0.294748200000145,0.109893799999993,0.265980700000127
0.030702000000002,0.111657799999992,0.029969999999999,0.139526300000003,0.348700100000199,0.339443800000191
0.044469700000004,0.3558294000002,0.026566099999999,0.203244100000055,0.202984600000064,0.166906100000018
0.0186607,0.232895100000091,0.0036982,0.291774700000138,0.116346299999989,0.336625000000184
0.066836700000007,0.350659900000194,0.029969199999999,0.240546900000088,0.194288000000059,0.117699299999985
0.028258400000001,0.254583400000098,0.0070633,0.236228400000077,0.147266800000004,0.326599700000181
0.023136799999999,0.274920600000108,0.0009845,0.187771300000045,0.114903499999993,0.398283300000243
0.0221315,0.456372500000294,0.0002458,0.245780500000093,0.0062807,0.26918900000013
0.0003471,0.306758000000153,0.061155300000009,0.264425300000115,0.115060299999992,0.252254000000098
0.031800599999999,0.359852600000209,0.019348099999999,0.086562099999997,0.21853450000008,0.283902100000134
0.080493500000007,0.283844800000125,0.083486400000001,0.121761799999988,0.135705699999993,0.294707800000148
0.063499800000011,0.245342500000084,0.057834300000006,0.187635400000035,0.132316099999991,0.31337190000017
0.0226483,0.331731000000179,0.127383699999992,0.147390300000013,0.044558400000002,0.326288300000174
0.018851,0.295080300000136,0.0186892,0.269221000000112,0.051537400000003,0.346621100000185
0.024932699999999,0.156715800000018,0.086848000000002,0.12027849999999,0.124043599999985,0.487181400000327
0.050295300000005,0.28116810000013,7.31000000000009E-05,0.131915599999987,0.094192000000001,0.442355900000287
0.011738099999999,0.388790000000238,0.023825399999999,0.215292800000067,0.179600100000037,0.180753600000037
7.07000000000009E-05,0.428974400000269,0.030354499999999,0.128894199999993,0.041788600000002,0.369917600000217
0.030607699999999,0.215391000000075,0.035136600000002,0.286797900000134,0.062487600000007,0.369579200000223
0.050805399999998,0.550905900000119,0.079971200000007,0.135395199999997,0.0333668,0.149555500000005
6.52000000000007E-05,0.127558999999986,0.0013501,0.095168999999996,0.506199500000331,0.269657200000121
0.113383300000017,0.259292200000108,0.094770999999999,0.256325000000108,0.109998599999994,0.166229900000027
0.053047900000001,0.327754200000177,0.048112300000001,0.240830600000086,0.093501400000001,0.236753600000093
0.0001026,0.283037800000129,0.0063742,0.117052199999991,0.104419399999994,0.489013800000333
0.0120795,0.289859800000133,0.064072700000006,0.174655000000025,0.190635100000045,0.268697900000114
0.069372300000005,0.282629200000131,0.0007787,0.331262000000159,0.110766899999993,0.205190900000059
0.020195599999999,0.329407900000182,0.011882599999999,0.136952799999995,0.077080500000004,0.424480600000267
0.047019900000002,0.254167100000098,0.0091311,0.114121699999991,0.321753400000168,0.253806800000104
0.0002944,0.381177900000223,0.088589900000005,0.152496600000007,0.116272799999992,0.261168400000115
0.035665800000001,0.297210000000141,0.035206000000001,0.326063500000162,0.076613400000004,0.229241300000086
0.012496599999999,0.367400500000217,0.0046774,0.11778659999999,0.223516000000084,0.274122900000138
0.0001525,0.460891300000311,0.0004382,0.114967899999994,0.065710700000012,0.357839400000212
8.59000000000012E-05,0.340591600000176,0.0009539,0.175461700000029,0.093042199999995,0.389864700000244
0.027873500000001,0.241257600000102,0.063825500000007,0.248411400000102,0.068352100000004,0.350279900000191
0.037908200000002,0.38382160000024,0.0006181,0.225022900000076,0.072349700000007,0.280279500000132
0.069101500000004,0.419451600000273,0.0361967,0.252702100000096,0.0203273,0.20222080000005
0.0673408,0.396506800000232,0.010349100000001,0.214297700000061,0.028245999999999,0.283259600000132
0.0051951,0.377349700000227,0.0072314,0.166332300000022,0.105118299999995,0.338773200000193
0.042690299999999,0.300629200000155,0.0196774,0.129219999999985,0.236434300000089,0.271348800000125
0.0050091,0.288369600000128,0.0112585,0.163609700000019,0.014585199999999,0.517167900000284
0.063211500000004,0.272847400000117,0.076774300000004,0.22002960000007,0.085473900000001,0.281663300000128
0.054835800000006,0.302632200000157,0.022649599999999,0.299557600000148,0.149520300000007,0.170804500000036
0.073539600000005,0.41353980000025,0.0013933,0.146873300000004,0.0321435,0.332510500000187
0.070614600000001,0.326995700000162,0.060649000000006,0.249787000000101,0.099271299999994,0.192682400000043
0.033646900000001,0.153850100000001,0.064749900000007,0.142397800000004,0.144693100000005,0.460662200000309
0.088619000000012,0.357149200000199,0.031138299999999,0.260906600000102,0.13122039999999,0.130966499999996
0.105240399999998,0.194516000000048,0.095702599999999,0.212900500000065,0.018907099999999,0.37273340000022
0.0050993,0.457681800000289,0.022648299999999,0.302701500000142,0.050938000000005,0.160931100000033
0.0200527,0.504523200000318,0.0054986,0.134440699999998,0.196847800000053,0.138637
0.022369,0.319749900000164,0.0001574,0.176918400000032,0.026987199999999,0.453818100000301
