C,Hpop,Dec,D,L
0.070263700000008,0.011345599999999,0.373208700000227,0.254432500000105,0.290749500000142
0.086115200000007,0.0231582,0.220649100000072,0.446853100000299,0.223224400000071
0.051503800000004,0.0024921,0.155491800000005,0.434944100000277,0.355568200000193
0.092357499999999,0.077077300000005,0.089919200000008,0.457189000000286,0.283457000000133
0.192745100000037,0.114628599999992,0.124260499999988,0.291773400000127,0.276592400000122
0.070480100000003,0.074126400000005,0.209967800000061,0.245458900000101,0.399966800000241
0.065348300000006,0.044405900000003,0.114825699999997,0.389665100000226,0.385755000000227
0.067173400000005,0.056825400000003,0.187743700000038,0.430261500000269,0.257996000000107
0.12211439999999,0.0164692,0.203215900000055,0.499697000000337,0.158503500000016
0.188538500000044,0.027200999999999,0.287703200000148,0.284219600000121,0.212337700000058
0.172715600000029,0.085655300000001,0.197897100000051,0.329615600000163,0.214116400000069
0.046434100000004,0.12123729999999,0.145640400000013,0.40501480000026,0.281673400000128
0.050147700000005,0.082671500000004,0.194663100000049,0.41049750000025,0.262020200000107
0.0204246,0.050346600000003,0.357855500000187,0.29180700000013,0.279566300000117
0.142908000000005,0.029964399999999,0.126924699999986,0.349271400000183,0.350931500000192
0.110357499999996,0.078234600000003,0.147556100000014,0.48789500000032,0.175956800000026
0.085942800000004,0.015185399999999,0.177231000000027,0.415232100000246,0.306408700000143
0.0900111,0.024892899999999,0.300982700000146,0.413991700000261,0.170121600000019
0.110440699999991,0.123452299999991,0.191995800000043,0.302142800000147,0.271968400000122
0.07459600000001,0.020639799999999,0.141367100000002,0.613162499999853,0.150234600000007
0.176223600000036,0.080913600000004,0.203355100000051,0.304239400000147,0.235268300000075
0.065319100000005,0.099946999999997,0.28564760000014,0.325874100000167,0.22321220000006
0.177914400000024,0.047893500000002,0.170267600000026,0.264297700000092,0.339626800000165
0.074389000000008,0.091551400000002,0.388142900000226,0.290569500000148,0.155347200000011
0.138855599999999,0.068770600000007,0.23684920000009,0.387337900000236,0.168186700000023
0.130295299999993,0.114092099999994,0.269411300000127,0.233685600000086,0.252515700000093
0.038269600000001,0.020587799999999,0.113761899999991,0.444669900000284,0.382710800000229
0.0171376,0.0117997,0.323357700000169,0.426694300000264,0.221010700000067
0.039624200000001,0.052754700000005,0.112809699999999,0.524138100000238,0.270673300000112
0.062052900000006,0.031667000000001,0.382183000000225,0.303089000000141,0.221008100000073
0.064854600000008,0.054955700000005,0.237782500000095,0.306885700000165,0.335521500000176
0.075564100000005,0.127623899999989,0.293859000000143,0.345665600000196,0.157287400000004
0.078194000000003,0.13623649999999,0.286813500000132,0.309172300000159,0.189583700000039
0.143854899999999,0.013389299999999,0.227181000000074,0.24186890000009,0.373705900000201
0.093931399999999,9.51000000000015E-05,0.32524670000017,0.224178200000076,0.356548600000198
0.065445800000008,0.028604199999999,0.155525600000012,0.471595300000308,0.278829100000123
0.141392000000003,0.020699299999999,0.170993800000028,0.328477400000172,0.338437500000183
0.054997300000007,0.101110399999995,0.284997800000141,0.212142800000053,0.346751700000173
0.067680800000008,0.020972299999999,0.232660200000083,0.440179400000287,0.238507300000096
0.084362200000001,0.052600500000004,0.26444860000012,0.335692200000163,0.262896500000103
0.106596000000001,0.147317500000009,0.251661600000102,0.299898200000142,0.194526700000051
0.106835299999995,0.067204600000006,0.217089700000062,0.204742900000062,0.404127500000238
0.192254700000042,0.034940899999999,0.17461990000003,0.259008100000088,0.339176400000185
0.028684299999999,0.019291699999999,0.332882400000183,0.436414000000274,0.182727600000038
0.121608899999989,0.121361999999994,0.164507000000018,0.376184700000221,0.216337400000066
0.066272300000008,0.007946,0.207539500000064,0.401859600000246,0.316382600000156
0.069971600000008,0.046840700000005,0.303426600000153,0.344539400000178,0.235221700000083
0.111271799999999,0.0222885,0.240149600000099,0.407905200000251,0.218384900000057
0.050685100000004,0.106580299999992,0.218840800000074,0.317645400000165,0.306248400000137
0.031955300000001,0.091015099999998,0.200221400000058,0.453661200000285,0.223147000000064
0.112412599999998,0.0098114,0.138025399999994,0.335816500000177,0.403934100000248
0.101822899999994,0.063571600000011,0.26561370000011,0.300155900000139,0.268835900000101
0.0234332,0.020105099999999,0.299528400000156,0.351473300000193,0.305460000000161
0.111240100000002,0.041117200000004,0.232663000000078,0.320405100000158,0.294574600000137
0.0939925,0.073243400000006,0.260937300000107,0.313278600000161,0.258548200000101
0.060790000000008,0.055113400000006,0.351637800000192,0.289865900000127,0.242592900000096
0.086875599999999,0.021316799999999,0.268913100000116,0.415418100000244,0.207476400000074
0.056709900000006,0.123919499999986,0.239494500000093,0.348700900000194,0.231175200000071
0.069394700000007,0.130125299999988,0.292445800000153,0.31054730000015,0.197486900000048
0.052322500000005,0.167820200000027,0.284235800000136,0.274839800000125,0.220781700000073
0.087013000000003,0.0113493,0.324309900000173,0.260709000000121,0.316618800000159
0.063123000000007,0.0353753,0.366864000000218,0.257920800000108,0.276716900000127
0.0064673,0.0047182,0.365794100000208,0.431834200000264,0.191186200000041
0.070566100000012,0.081390900000004,0.153326900000009,0.421647100000263,0.27306900000012
0.084506100000001,0.131435799999992,0.186121800000042,0.320704400000176,0.277231900000129
0.111894999999992,0.0008571,0.211226600000065,0.299130200000155,0.376891100000207
0.077994500000001,0.117419099999988,0.210334100000071,0.305712000000132,0.288540300000135
0.134809399999992,0.081388700000002,0.288814800000137,0.319097100000157,0.175890000000023
0.024917999999999,0.0001694,0.412136600000272,0.387949400000234,0.174826600000022
0.05886920000001,0.0284046,0.279903600000128,0.240982500000094,0.391840100000221
0.065240300000007,0.086926500000002,0.358049500000205,0.191237600000052,0.298546100000127
0.192555100000051,0.0092576,0.201590400000057,0.354711200000181,0.241885700000082
0.080420200000003,0.019163,0.439479800000278,0.30326190000013,0.157675100000017
0.107928999999998,0.164802100000022,0.41649420000026,0.158527100000019,0.152247600000007
0.0049045,0.0177079,0.37980710000021,0.282961500000118,0.314619000000146
0.022881199999999,0.027192599999999,0.244462100000098,0.488430300000324,0.217033800000063
0.110075899999997,0.078807400000003,0.184265400000045,0.403063100000239,0.223788200000067
0.15770750000001,0.0233314,0.060494900000009,0.490066800000326,0.2683994000001
0.0852462,0.12017839999999,0.262536800000114,0.320472900000154,0.211565700000056
0.100842700000003,0.080420600000003,0.164529400000033,0.459507900000296,0.194699400000043
0.089733300000001,7.67000000000003E-05,0.304718200000164,0.321687700000162,0.283784100000123
0.130752699999995,0.138792699999996,0.189289100000043,0.267404900000119,0.273760600000112
0.070818300000009,0.034394300000002,0.302564800000158,0.368258500000217,0.223964100000076
0.024593999999999,0.070357500000007,0.39098460000024,0.205122200000053,0.30894170000016
0.048101300000004,0.024061299999999,0.287121400000142,0.319886200000152,0.320829800000169
0.0932342,0.023307199999999,0.097316600000002,0.373291000000207,0.412851000000256
0.070339300000007,0.070699100000009,0.293638600000137,0.364408200000212,0.200914800000054
0.062564000000008,0.048641700000004,0.253101500000091,0.362257100000204,0.273435700000115
0.205752900000062,0.032924800000002,0.26714000000013,0.344126200000185,0.150056100000008
0.075899400000008,0.049691000000006,0.252176000000108,0.336487400000175,0.285746200000125
0.079299500000005,0.046248300000004,0.284549900000116,0.291033000000139,0.298869300000139
0.098304399999998,0.070397800000006,0.347318900000198,0.220563800000064,0.263415100000116
0.062621700000005,0.062372400000007,0.100507499999998,0.368843800000217,0.405654600000238
0.198947000000059,0.118176399999993,0.087883999999998,0.214506600000059,0.380486000000218
0.016856799999999,0.0020623,0.356006500000198,0.407255100000245,0.217819300000067
0.0050189,0.097884299999996,0.154541600000023,0.600358899999928,0.1421963
0.037286800000002,0.068132200000007,0.241934100000099,0.479622200000326,0.173024700000028
0.228684800000088,0.031012399999999,0.222963600000073,0.281684900000131,0.235654300000085
0.023117399999999,0.152091300000015,0.267517300000116,0.22324530000006,0.334028700000171
0.053546900000005,0.092906799999995,0.356910800000202,0.330898800000171,0.165736700000017
0.132456799999991,0.093241500000004,0.175645600000028,0.365260500000209,0.23339560000009
0.057447000000004,0.058291700000007,0.147767200000006,0.53019480000021,0.20629930000005
0.048421500000004,0.026519899999999,0.309071700000156,0.275941700000108,0.340045200000181
0.0866863,0.089636000000005,0.289971900000146,0.170184700000029,0.363521100000201
0.114462199999991,0.026015299999999,0.311162800000157,0.276892200000126,0.271467500000106
0.154067600000017,0.134641299999994,0.094501800000002,0.386393200000231,0.230396100000073
0.051923800000005,0.06174970000001,0.237217300000087,0.344942500000196,0.304166700000148
0.104194399999996,0.081001700000005,0.265948100000115,0.319706700000159,0.229149100000081
0.011859599999999,0.008012,0.179923400000024,0.63428969999978,0.165915300000026
0.091801499999998,0.029020899999999,0.338566500000182,0.228853600000065,0.311757500000162
0.010607,0.0205316,0.367860800000209,0.384400000000217,0.216600600000069
0.0022835,0.0313311,0.289600400000137,0.383424000000215,0.293361000000142
0.102124500000001,0.0357179,0.290922300000151,0.375951700000209,0.195283600000036
0.023401799999999,0.013480999999999,0.358639900000207,0.392412400000238,0.212064900000065
0.070291000000007,0.041599000000002,0.191532500000047,0.449018300000283,0.247559200000097
0.065985100000007,0.076352900000007,0.258194600000115,0.353656700000191,0.245810700000089
0.126074199999987,0.0951987,0.236436500000086,0.310979000000149,0.231311600000078
0.064087500000009,0.060938000000008,0.285303900000136,0.362810800000213,0.226859800000072
0.078505600000005,0.057806400000008,0.266399400000118,0.333827800000187,0.263460800000115
0.045978100000004,0.0067684,0.465044000000311,0.299810700000132,0.182398800000037
0.093659899999998,0.0886126,0.152652200000018,0.455373100000302,0.209702200000057
0.045042500000003,0.082420099999999,0.160236600000022,0.395080600000241,0.317220200000146
0.103051299999996,0.037617900000001,0.282278000000144,0.342490700000179,0.234562100000084
0.0381706,0.074585500000005,0.358152200000205,0.242809200000081,0.286282500000134
0.064176600000009,0.127727599999991,0.18493100000004,0.40872230000024,0.214442500000049
0.061530700000008,0.0045444,0.506706400000317,0.241477800000085,0.185740700000035
0.066304400000006,0.136700900000001,0.245119500000091,0.341376900000178,0.210498300000056
0.061397200000008,0.063056900000008,0.228583900000088,0.452521800000287,0.194440200000038
0.174473900000022,0.122857499999991,0.233337800000084,0.241096900000084,0.22823390000008
0.038283000000001,0.0349123,0.276614900000123,0.263036300000109,0.387153500000231
0.170285100000021,0.0015028,0.492997100000325,0.172696300000023,0.162518700000018
0.059773300000006,0.06754620000001,0.2361632000001,0.409757300000239,0.226760000000077
0.059244700000008,0.017978599999999,0.246882300000109,0.363631300000206,0.312263100000167
0.025749799999999,8.11000000000011E-05,0.260999500000114,0.358304800000198,0.3548648000002
0.181170100000045,0.063553300000009,0.096756800000006,0.409906200000261,0.248613600000085
0.059750200000006,0.058761500000006,0.269965400000128,0.391193800000237,0.220329100000044
0.058512900000006,0.079493600000006,0.280124100000126,0.301884700000159,0.279984700000116
0.0356954,0.129865499999993,0.28713580000015,0.276273200000124,0.271030100000107
0.112768799999994,0.0251308,0.295650700000146,0.434643900000268,0.131805799999996
0.065163700000009,0.090331700000001,0.355688900000207,0.327818100000171,0.160997600000022
0.027626499999999,0.086579799999999,0.17626190000003,0.457864600000285,0.2516672000001
0.15442270000001,0.037803600000001,0.348270200000189,0.231886900000073,0.227616600000079
0.070830800000007,0.043863500000003,0.425164700000272,0.266767700000124,0.193373300000042
0.024022799999999,0.0166558,0.223995700000091,0.5596731000001,0.175652600000028
0.033520400000001,0.084058900000004,0.261095300000121,0.398116000000241,0.223209400000075
0.160831600000018,0.0102505,0.213235900000081,0.388613800000237,0.227068200000072
0.143339800000007,0.079682900000007,0.123761699999992,0.394155400000238,0.2590602000001
0.238193500000091,0.121918499999988,0.256411700000109,0.157452500000017,0.22602380000008
0.052869800000004,0.003248,0.28112130000013,0.339464400000196,0.323296500000165
0.145162000000008,0.120247199999995,0.225276500000081,0.37085680000021,0.138457499999993
