C,D,Int,L,PeP,Dec
0.030569599999999,0.318879800000169,0.039014000000001,0.190724100000039,0.148973200000012,0.271839300000128
0.0084903,0.493707400000331,0.0001103,0.120822099999987,0.056374800000006,0.320495100000173
0.065105600000009,0.224769100000066,0.055321900000007,0.18229280000004,0.167652200000023,0.30485840000015
0.0247121,0.378934400000217,0.096477299999995,0.116569599999991,0.10893329999999,0.274373300000129
9.62000000000015E-05,0.516986300000288,0.0327288,0.184813800000042,0.09252089999999,0.172854000000036
0.0001157,0.459160500000291,0.029838899999999,0.256758200000103,0.051269200000004,0.202857500000059
0.019034599999999,0.326578400000179,0.048313000000005,0.159563800000015,0.338136900000143,0.108373299999995
0.0091604,0.335799800000175,9.12000000000014E-05,0.178182100000028,0.199285100000051,0.27748140000013
0.049893500000007,0.385266900000222,0.048050600000003,0.193632300000042,0.045758300000001,0.277398400000128
0.0151654,0.239986900000101,0.044276300000003,0.253213400000104,0.32687850000018,0.120479499999992
0.0317949,0.189074900000034,0.017375899999999,0.125050699999991,0.078550400000003,0.558153200000097
8.94000000000013E-05,0.423917100000266,0.0117667,0.123124799999991,0.118973799999993,0.322128200000174
0.069703500000008,0.356445700000196,0.076645100000001,0.268536100000115,0.078248300000004,0.150421300000008
0.080007400000003,0.293224100000135,0.012910899999999,0.217409400000074,0.14396820000001,0.252480000000107
0.0096788,0.571164500000025,0.042332600000002,0.109998699999998,0.059910800000008,0.206914600000064
0.066342900000007,0.287140900000128,0.135605199999995,0.307089000000146,0.123918399999984,0.079903600000007
0.040919000000002,0.386021900000224,7.74000000000008E-05,0.242583100000091,0.126816199999985,0.203582400000049
0.051781300000004,0.383340000000228,0.088980899999999,0.151043499999998,0.161997700000021,0.162856600000019
0.042842000000002,0.363455900000203,0.005881,0.112562299999988,0.000102,0.475156800000323
0.046880100000003,0.370877700000198,0.044173700000002,0.250350400000085,0.161427500000007,0.126290599999993
0.040632600000001,0.368293700000204,0.051649600000005,0.2549452000001,0.011104,0.273374900000124
0.028362699999999,0.245382600000104,0.043509100000005,0.206364300000053,0.070827700000005,0.405553600000257
0.050715000000004,0.387037000000228,0.085269099999997,0.272762000000119,0.0057405,0.198476400000056
0.054289500000006,0.22552280000007,0.0076075,0.32733800000016,0.058289900000007,0.326952300000175
8.05000000000011E-05,0.472427700000311,0.076853300000003,0.268509100000119,0.0045174,0.177612000000038
0.018920899999999,0.193162600000054,0.090560500000002,0.201657300000052,0.217840300000048,0.277858400000126
0.054540400000006,0.435294300000275,0.044861800000004,0.110045999999994,0.126329399999987,0.228928100000082
0.003701,0.315503400000163,0.090633400000003,0.139388700000002,0.102583999999996,0.348189500000198
7.37000000000009E-05,0.294174500000138,0.053205300000005,0.178219700000031,0.049563700000006,0.424763100000285
0.0150086,0.34287360000018,0.035675500000002,0.223453200000073,0.037801000000001,0.345188100000192
0.033131199999999,0.308490400000159,0.156400100000009,0.300998600000142,0.124513899999987,0.076465800000006
0.024995199999999,0.174268400000016,0.024863499999999,0.408569700000254,0.053237800000006,0.314065400000167
0.027592099999999,0.1015555,0.0001821,0.083456300000009,0.294554000000139,0.492660000000335
0.051831600000007,0.314666500000162,0.052626000000005,0.284931300000123,0.114794699999989,0.181149900000036
0.054767500000005,0.227300200000076,8.47000000000012E-05,0.419868900000259,0.071011100000007,0.226967600000079
0.050871300000004,0.340704200000179,0.0031703,0.1404952,0.135296399999993,0.329462600000173
0.037972900000001,0.544769300000144,0.0177425,0.203381100000056,0.046125800000003,0.15000840000002
0.036440700000002,0.234071800000088,0.084821400000002,0.229044000000086,0.043225600000003,0.372396500000226
0.0107853,0.470627000000308,0.035339200000003,0.154815400000016,0.1388048,0.189628300000048
0.061126700000009,0.368229100000213,0.0001324,0.193338900000046,0.225989800000071,0.151183100000007
0.058810900000006,0.343690800000191,0.065166900000011,0.123602999999989,0.11564109999999,0.293087300000146
0.059308300000008,0.33122870000018,0.078628800000005,0.15140960000001,0.043901600000004,0.335523000000193
0.085502099999999,0.197242300000052,0.0100359,0.228232100000078,0.157764900000015,0.321222700000172
0.024533399999999,0.332256900000184,0.0131375,0.172879500000023,0.274122700000108,0.183070000000039
0.051337100000004,0.41416540000026,0.004486,0.093054899999998,0.14173109999999,0.295225500000138
0.010010399999999,0.484452700000322,0.063263900000009,0.23598690000007,0.031234999999999,0.175051100000043
0.027196799999999,0.149405900000006,0.061002500000007,0.179715400000037,0.223854400000083,0.358825000000206
0.043746700000004,0.335410900000183,0.048252300000006,0.202287300000058,0.137000699999999,0.233302100000097
0.028194699999999,0.381981900000216,0.045486700000004,0.215148800000068,0.169879600000033,0.15930830000002
0.0133056,0.431087500000265,0.028172099999999,0.109769499999993,0.167023100000023,0.250642200000102
0.004909,0.314193300000154,0.0161402,0.258868800000102,0.108433900000003,0.297454800000151
0.058814900000006,0.262896100000092,0.026417499999999,0.144297100000013,0.170205600000032,0.337368800000185
0.0061786,0.514001600000286,7.5200000000001E-05,0.126279799999987,0.027156399999999,0.32630840000017
0.0152829,0.258935200000117,0.113104999999992,0.245088200000083,0.106592399999991,0.26099630000012
0.031944200000001,0.428175300000276,0.0005981,0.103283800000001,0.041495100000002,0.394503500000245
0.0221887,0.40697790000025,0.024890999999999,0.160924600000011,0.116952999999987,0.268064800000122
0.0137975,0.294073100000132,0.013883199999999,0.192394300000038,0.252345900000107,0.233506000000093
0.057079200000007,0.530483200000227,0.0127729,0.130300499999992,0.053115200000006,0.216249000000076
0.035384500000001,0.347827200000196,0.000932,0.149037800000005,0.149191300000007,0.317627200000174
4.30000000000002E-05,0.583016599999999,0.099077800000006,0.131268199999994,0.061763000000007,0.124831399999994
0.046109000000003,0.451471400000284,0.0046004,0.228777600000071,0.138394999999991,0.130646599999992
0.055591100000007,0.426978400000263,0.089977799999999,0.18048230000003,0.067990900000006,0.178979500000037
0.076730000000002,0.387329700000221,0.094932699999997,0.27067220000012,0.06316220000001,0.107173199999996
0.016629299999999,0.362695100000225,0.0010491,0.202325100000061,0.098104799999994,0.319196600000164
8.98000000000013E-05,0.363088700000207,0.0104893,0.298592000000145,0.023953699999999,0.303786500000156
0.015997399999999,0.346253300000201,0.0066761,0.228273700000071,0.115655999999997,0.287143500000142
0.060373000000007,0.304999700000148,0.011094499999999,0.253671900000107,0.169522800000008,0.200338100000052
0.022804099999999,0.356209900000197,0.0002519,0.176875700000036,0.032639399999999,0.411219000000267
0.0157724,0.371973900000216,0.038508100000002,0.103969399999995,0.0142461,0.455530100000306
0.025843699999999,0.315823600000163,0.062364000000009,0.149713500000006,0.053051200000006,0.393204000000244
0.063778200000008,0.306286500000152,0.19457460000005,0.197268400000045,0.042959400000001,0.195132900000064
0.035763800000002,0.430287100000283,7.64000000000008E-05,0.160723100000016,0.164154700000022,0.208994900000067
0.0006135,0.330656700000175,0.0332135,0.215900900000069,0.305610300000133,0.114005099999993
0.031886800000001,0.247873100000107,0.0009493,0.15466900000001,0.213837800000073,0.350784000000191
0.018696499999999,0.509754700000283,0.079461700000004,0.192489500000046,0.0321748,0.167422800000029
0.060819100000007,0.317730900000158,0.050910600000004,0.155903100000025,0.249681900000097,0.164954400000025
0.045903200000004,0.37231050000021,0.071992400000006,0.179206900000033,0.046608800000004,0.283978200000137
0.0055606,0.38608790000022,0.161066400000021,0.278322900000112,0.070402300000008,0.098559899999999
0.0066034,0.459842900000289,0.108791199999993,0.155884100000013,0.067835700000005,0.201042700000064
0.022559199999999,0.378305000000221,0.0301982,0.174844400000031,0.16646150000001,0.22763170000008
0.0379824,0.238025500000087,0.099853499999996,0.238581400000096,0.270456600000122,0.115100599999999
0.0004739,0.304480000000164,0.0002572,0.134355799999989,0.212353700000059,0.348079400000193
0.004467,0.361319300000194,0.0005427,0.161294600000022,0.101138299999997,0.371238100000213
0.055567300000005,0.395688400000225,0.0017977,0.146707100000007,0.211533500000068,0.188706000000044
0.036497000000001,0.198457400000042,0.181165100000043,0.191754900000049,0.290461300000154,0.1016643
0.010829499999999,0.166354100000018,0.038631400000001,0.339918600000177,0.224353900000084,0.219912500000061
0.0001188,0.446909500000291,0.133686199999984,0.21496450000006,0.058018000000006,0.146303000000008
0.073774300000008,0.358831300000197,0.193839400000053,0.140979800000002,0.0132488,0.219326400000073
0.054434200000006,0.3577892000002,0.047699700000003,0.129037799999993,0.105324199999995,0.305714900000155
0.022244499999999,0.36290480000021,0.174719900000029,0.262126300000104,0.1068825,0.071122000000006
0.000223,0.429185200000268,0.083733300000003,0.264464800000106,0.035720000000001,0.186673700000041
0.038861500000001,0.241808600000098,0.091239600000001,0.262170000000118,0.156629500000017,0.209290800000068
0.0001764,0.394836800000234,0.094989999999995,0.288067700000138,0.021708499999999,0.200220600000058
0.037052400000001,0.281290700000125,0.068970800000006,0.350355100000187,0.0271533,0.235177700000097
0.073999400000005,0.254295300000097,0.0005339,0.289494600000135,0.179230400000035,0.202446400000057
0.0329136,0.276829800000117,0.057874300000007,0.147998599999998,0.113546999999991,0.370836700000226
0.0046633,0.3426310000002,0.0018627,0.230768500000075,0.125953999999989,0.294120500000141
0.052719000000005,0.424759500000273,0.078028800000003,0.247487000000079,0.075947800000005,0.12105789999999
0.063596300000008,0.336627200000177,0.072690100000006,0.235213700000095,0.068249000000005,0.22362370000008
0.067989600000011,0.378984500000232,0.0001214,0.088643300000001,0.044628000000003,0.419633200000263
