C,D,PoP,L,PeP,Dec
0.047930300000002,0.300782600000151,0.034245299999999,0.119648099999991,0.050306500000006,0.447087200000291
0.043251700000003,0.257107200000105,0.033252899999999,0.168293500000031,0.221726200000081,0.276368500000127
0.0001492,0.32659040000018,0.062337100000007,0.21245900000006,0.077973700000005,0.320490600000168
0.038379900000003,0.180989900000037,0.100466499999995,0.186816700000036,0.080946600000005,0.412400400000261
0.014820499999999,0.296637700000147,0.0189787,0.106273399999995,0.196398500000057,0.366891200000217
8.13000000000011E-05,0.252637600000085,0.004289,0.253126100000094,0.160990200000023,0.32887580000017
0.042177600000002,0.258621700000101,5.52000000000005E-05,0.255441400000105,0.093647199999997,0.350056900000197
0.0251541,0.594966499999942,0.0012815,0.206069600000059,0.015582399999999,0.156945900000017
0.0258547,0.336042300000188,0.037001400000001,0.248947600000086,0.0325426,0.319611400000162
0.034365700000002,0.338704900000179,0.0005996,0.169966200000022,0.153107700000004,0.303255900000159
8.03000000000011E-05,0.281837900000131,0.042359000000001,0.344038800000196,0.105227699999994,0.226456300000088
0.040074300000003,0.278624000000116,0.077145100000003,0.108824099999993,9.39000000000014E-05,0.495238600000343
0.116975400000002,0.214783100000065,0.0008559,0.190908000000047,0.145697199999999,0.330780400000178
0.159974900000023,0.359935300000203,0.0025895,0.160616400000014,0.0181653,0.29871860000015
0.0242412,0.205651900000052,0.0005933,0.120234599999995,0.176463900000031,0.472815100000323
2.96999999999999E-05,0.28211240000013,0.057699300000006,0.091187899999999,0.273752300000131,0.295218400000141
0.0180192,0.267084300000126,0.069362400000013,0.1464059,0.273366300000126,0.225761900000087
0.020230399999999,0.251947000000096,0.0002292,0.143749900000002,0.17990320000004,0.403940300000256
0.076924700000005,0.375603000000206,0.037759200000001,0.114045599999995,0.176887700000032,0.218779800000061
0.0154424,0.387231300000232,0.046040100000006,0.263311600000094,0.030156099999999,0.257818500000108
0.049599000000003,0.321161700000162,0.0043379,0.281622400000136,9.97000000000016E-05,0.34317930000019
0.0006646,0.38143670000023,0.077275200000004,0.076932400000004,0.115158299999991,0.348532800000198
0.053968800000003,0.590236399999941,0.018762099999999,0.217041600000068,0.035763900000002,0.084227200000002
0.0062209,0.290192600000139,0.0076479,0.163166500000017,0.186690600000044,0.3460815000002
0.0004083,0.353022700000191,0.0343615,0.108476500000002,0.105564599999995,0.398166400000244
0.0024186,0.503022200000335,0.0001652,0.142463100000003,0.050574200000004,0.301356700000155
0.051337599999999,0.360077600000199,0.052341600000006,0.211880800000065,0.103939899999995,0.220422500000075
0.0070255,0.206636000000067,0.070420100000012,0.256835400000104,0.196133600000047,0.262949400000115
0.071764600000006,0.382993300000223,0.011115,0.296346800000136,0.042286100000001,0.195494200000047
0.060684800000008,0.209144500000073,0.172299000000028,0.162526100000026,0.192428800000046,0.20291680000006
0.039557300000004,0.312460700000168,9.29000000000014E-05,0.254195700000107,0.025514299999999,0.368179100000215
0.0449673,0.547741100000129,0.0364943,0.088813199999998,0.0860017,0.195982400000057
0.0081633,0.399745100000245,0.039508500000003,0.221320600000075,0.233542300000097,0.097720199999999
0.014569,0.360320900000206,6.12000000000007E-05,0.185635300000044,0.103051499999995,0.336362100000192
0.000106,0.296736100000156,6.04000000000006E-05,0.137131299999998,0.178534000000034,0.387432200000235
6.96000000000008E-05,0.152203400000015,0.0024422,0.171327800000024,0.341027700000189,0.332929300000183
0.040293700000003,0.201074500000063,3.71000000000001E-05,0.27626250000013,0.225359500000076,0.256972700000103
0.009614,0.380628300000217,0.0001648,0.228309000000076,0.119674699999987,0.261609200000111
0.027558300000001,0.208827900000056,0.042148700000002,0.153393400000005,0.132437599999988,0.435634100000282
0.0070228,0.145782000000003,0.0001836,0.096946599999999,0.38137230000023,0.368692700000217
0.0212913,0.262984400000122,0.048608100000006,0.148505900000006,0.091129900000002,0.427480400000272
0.0309186,0.417681100000262,0.040341700000001,0.186105600000039,0.160357700000024,0.164595300000025
0.0001651,0.255290500000094,0.0120923,0.138739499999996,0.394473700000249,0.199238900000059
0.109426900000003,0.339152500000188,0.052359000000006,0.217273300000066,0.136613199999994,0.145175100000005
0.042003100000004,0.444431600000294,0.0023387,0.138116499999999,0.271778800000122,0.101331300000001
0.042702300000002,0.241279700000085,0.124942299999988,0.233628100000073,0.073864400000006,0.28358320000013
0.092026900000013,0.321046300000165,0.0007334,0.147235300000009,0.074912700000005,0.364045400000215
0.018309699999999,0.351754200000205,0.019500099999999,0.129713899999988,0.283108300000139,0.19761380000005
0.101054599999989,0.287469800000139,0.002149,0.338267500000188,0.073306300000005,0.197752800000058
0.0001383,0.392666500000238,0.010543799999999,0.076362200000002,0.100441799999993,0.419847400000265
0.0001613,0.236648500000088,0.084550300000002,0.19536580000005,0.066996600000007,0.41627750000025
0.014181199999999,0.259017500000119,0.043475000000003,0.331681200000178,0.208771400000065,0.14287370000001
0.0312042,0.261116200000109,0.089114600000003,0.14677210000001,0.044597800000002,0.427195100000277
0.0077708,0.511934400000298,0.045147000000004,0.283069400000125,0.0158173,0.136261100000003
0.066084399999997,0.352166600000203,0.0013436,0.28218420000013,0.024748599999999,0.273472600000139
0.0025955,0.364701000000219,7.7500000000001E-05,0.158773100000016,0.143743400000003,0.330109500000183
0.070954600000006,0.381045200000228,0.0089803,0.248496900000095,0.020636299999999,0.269886700000124
0.043157500000001,0.289022200000144,8.75000000000013E-05,0.232915000000076,0.168443300000022,0.266374500000111
0.0103737,0.114861099999988,0.0001002,0.075448000000003,0.258950700000114,0.540266300000179
0.0506937,0.1385794,0.044227100000003,0.218871500000068,0.232960800000088,0.314667500000151
0.0005956,0.413495000000254,0.0003033,0.145934200000003,0.064461800000011,0.375210100000222
0.018892,0.160095100000017,0.021989299999999,0.244166600000078,0.259445000000111,0.295412000000148
0.0084895,0.282186500000132,0.039910900000002,0.175621500000026,0.217118800000068,0.276672800000128
0.010186299999999,0.365950800000202,0.021108699999999,0.197150800000047,0.134828399999997,0.270775000000124
