C,D,Int,PoP,L,Dec
0.022258,0.327427800000174,0.029599399999999,0.031960900000003,0.278776600000118,0.309977300000155
0.159792800000017,0.344913300000182,0.050803400000003,0.097890799999996,0.206134700000058,0.140465000000004
0.117811400000003,0.38900510000024,0.0018347,0.055666200000007,0.24027540000009,0.195407200000047
0.028857099999999,0.510373300000287,0.040003900000003,0.058276300000007,0.20018350000004,0.162305900000021
0.032936800000001,0.521909100000245,0.060539300000007,0.110654299999993,0.115896099999996,0.158064400000018
0.046842500000003,0.224650300000073,0.066477400000008,0.073686800000005,0.201974500000047,0.386368500000234
0.092719200000007,0.435093800000274,0.025525399999999,0.133790499999997,0.149759400000009,0.163111700000024
0.071369300000001,0.557205200000104,0.045365300000001,0.0023349,0.219228400000067,0.104496900000003
0.087119800000008,0.319926600000168,0.0025563,0.098532599999999,0.222948800000059,0.268915900000127
0.042775800000002,0.43283450000028,3.81000000000001E-05,0.018585299999999,0.322245700000165,0.183520600000045
0.094319700000001,0.313220800000168,0.054746300000004,0.0001325,0.173670200000033,0.363910500000213
0.181745600000066,0.221292500000059,0.0168297,0.028729399999999,0.183424500000027,0.367978300000223
0.057521400000003,0.491658600000321,0.005133,0.109845699999993,0.160985000000014,0.174856300000032
0.060789600000007,0.356563900000213,0.044779600000003,0.097163199999997,0.124819599999989,0.31588410000016
0.0219009,0.421654100000256,0.073692600000004,0.056664600000004,0.17016250000003,0.255925300000105
0.0176006,0.355888600000204,0.056142400000005,0.0001145,0.118871199999992,0.451382700000304
0.136501799999993,0.353761300000201,0.049491900000004,0.044803200000004,0.223599200000079,0.191842600000057
0.076650200000002,0.417012700000255,9.02000000000013E-05,0.014868,0.209766300000066,0.281612600000134
0.107044300000005,0.407744500000246,0.061020000000008,0.068883100000006,0.195718200000047,0.15958990000003
0.251260800000039,0.234940700000072,0.011054400000003,0.078147700000006,0.148009300000006,0.276587100000137
0.067868100000008,0.514276800000283,0.104407899999997,0.134339799999993,0.178950300000038,0.0001571
0.0187143,0.475575200000315,0.0001367,0.0168685,0.114334899999996,0.374370400000223
0.053859700000006,0.405534200000242,0.022847899999999,0.051410800000006,0.167685700000023,0.298661700000145
0.165464100000003,0.320762000000171,0.0135508,0.137191999999995,0.17929960000003,0.183731500000035
0.126014400000002,0.384365200000232,0.017473899999999,0.046496200000003,0.251649700000098,0.174000600000032
0.165083800000018,0.3587313000002,0.0018251,0.024082899999999,0.194899600000053,0.255377300000106
0.037785400000001,0.23651810000009,0.0039983,0.0380491,0.130825699999991,0.552823400000141
0.184363100000039,0.412758200000246,0.0188181,0.017721799999999,0.19845820000005,0.167880600000026
0.214186400000028,0.250125700000093,0.073873000000019,0.021832599999999,0.201731300000059,0.238251000000086
0.058098200000004,0.333124300000183,0.026981199999999,0.235968300000096,0.28255440000012,0.063273600000009
0.017814699999999,0.486443500000323,0.0013264,0.054776300000007,0.240788100000089,0.19885100000007
0.149024800000008,0.109418399999994,0.013514900000003,0.06392850000001,0.162879300000018,0.501234100000343
0.054923600000002,0.482184700000311,0.0175933,0.058089700000008,0.238629900000081,0.148578800000002
0.010869299999999,0.301010900000158,0.053336000000005,0.163175800000014,0.419594100000246,0.052013900000007
0.029504399999999,0.450827000000287,0.051613400000004,0.097944099999997,0.235847800000086,0.134263300000004
0.044085299999999,0.481429500000322,0.079331400000009,0.062734800000009,0.177711200000028,0.154707800000018
0.0350043,0.463182800000306,0.022430599999999,0.072650100000006,0.205691500000059,0.201040700000062
0.021573799999999,0.298847100000138,0.066503400000009,0.103369299999995,0.354436900000186,0.15526950000002
0.065113199999997,0.508596700000307,0.079975600000012,0.051223700000005,0.175132000000026,0.119958799999984
0.17058060000004,0.373602200000203,0.044239100000002,0.146364500000004,0.150357400000004,0.114856199999997
0.025093399999999,0.491819600000329,0.020323399999999,0.120428399999991,0.142760900000004,0.199574300000061
0.057250700000001,0.414201700000244,0.0026503,0.150877400000009,0.258944800000095,0.116075099999992
0.077548900000004,0.37319130000022,0.0020507,0.068519900000009,0.126042299999984,0.352646900000202
0.113371299999988,0.447298000000272,0.048810600000005,0.025500799999999,0.180119000000043,0.184900300000055
0.094525199999995,0.416028900000251,0.0088859,0.0368348,0.205150300000063,0.238574900000093
0.032858400000003,0.30075620000014,0.051362200000005,0.052191300000005,0.263366800000109,0.299465100000155
5.74000000000006E-05,0.36649200000022,0.092128299999997,0.044782600000002,0.197331700000044,0.299208000000145
0.107917400000016,0.452486000000287,0.0022976,0.000104,0.272672200000114,0.164522800000026
0.068029200000007,0.408896100000233,0.0060628,0.137654999999994,0.264579300000108,0.114777600000004
0.196051200000031,0.314010800000163,0.016207900000003,0.275535800000129,0.187925900000047,0.0102684
0.140048900000023,0.383403500000223,0.0040108,0.063635800000008,0.231339800000084,0.177561200000036
0.052750700000003,0.328054400000169,0.030838599999999,0.144123000000001,0.197002700000056,0.247230600000111
0.157260400000023,0.350656500000189,0.0375724,0.040439900000002,0.254936300000102,0.159134500000023
0.108158400000017,0.314997100000156,0.029878499999999,0.073334800000006,0.2649444000001,0.208686800000058
0.0101121,0.290274200000132,0.067712500000009,0.0065605,0.372294000000211,0.253046700000098
0.054053900000006,0.304300800000151,0.0007499,0.155507000000017,0.309226100000151,0.176162300000037
0.0110302,0.494764800000323,0.009982,0.187745400000046,0.178739800000042,0.117737799999992
0.169900900000036,0.234420200000102,0.016853300000001,0.021779599999999,0.194738600000052,0.362307400000216
0.090230299999998,0.46685270000031,0.067334900000007,0.087903100000003,0.183557400000035,0.104121599999999
0.084762800000017,0.55885860000007,0.044222100000002,0.033458199999999,0.106206499999993,0.172491800000036
0.009940599999999,0.217415300000075,0.072563100000005,0.186752700000035,0.241633000000076,0.271695300000127
0.069229800000001,0.624022099999867,0.025511499999999,0.020304499999999,0.140020600000001,0.1209115
0.113074500000011,0.436772400000263,0.0100571,9.70000000000015E-05,0.167001600000023,0.272997400000119
0.125718900000026,0.485124400000323,0.045226600000003,0.056925300000007,0.21483300000007,0.072171800000006
0.081415700000006,0.236192500000091,0.0030441,0.072148100000007,0.361852500000203,0.24534710000011
0.162388900000014,0.31761610000017,0.0146139,0.049298700000004,0.119035799999993,0.337046600000182
0.053812900000008,0.56291820000009,0.0016349,0.070265600000006,0.23437010000008,0.076998300000008
0.134561400000028,0.376318400000218,0.033225200000001,0.025985099999999,0.243457500000085,0.186452400000049
0.125571499999993,0.456799700000295,0.009391899999999,0.081856600000006,0.264355600000098,0.062024700000008
0.136783999999997,0.372509400000219,0.091945600000006,0.022178699999999,0.092478099999994,0.284104200000135
0.040372700000003,0.34347740000019,5.56000000000005E-05,0.047318700000003,0.293331900000133,0.275443700000129
0.076649300000007,0.421732900000248,0.0123739,0.027540899999999,0.359837900000183,0.101865099999994
0.117716500000016,0.410877400000256,0.003511,0.062012700000007,0.219747500000072,0.186134900000044
0.090139200000012,0.468356300000295,0.046120000000004,0.0017162,0.224741900000079,0.168926400000028
0.127594400000018,0.346245500000198,0.036243900000001,0.043957700000004,0.204510000000056,0.241448500000099
0.176641000000026,0.368491000000222,0.0003752,0.018018099999999,0.168965100000028,0.267509600000104
0.069591399999997,0.354568400000195,0.0255764,0.0244086,0.227080000000076,0.298775200000148
0.038823700000002,0.435386400000266,0.049184300000003,0.080478500000005,0.18936780000004,0.206759300000064
0.042678300000002,0.236434900000093,0.0212313,0.064101600000011,0.38161790000021,0.253936000000113
0.044876300000004,0.419130400000258,0.028557599999999,0.106206899999998,0.262012300000102,0.139216499999995
0.054191300000006,0.231877900000087,0.032020800000001,0.210003600000066,0.189942300000035,0.281964100000138
0.106485599999994,0.328103200000166,0.0070997,0.042730900000003,0.242661200000086,0.27291940000012
0.143826599999998,0.3598967000002,0.0002458,0.0020521,0.163793800000026,0.330185000000178
0.054060799999997,0.30973570000015,0.0140152,0.216371200000079,0.161312200000015,0.2445049000001
0.066974000000006,0.304895500000151,0.0113704,0.137811599999995,0.253071200000101,0.225877300000072
0.0226755,0.475609900000321,0.092184299999995,0.063262900000006,0.242405300000084,0.103862099999993
0.094729099999999,0.336225200000189,0.023455899999999,0.090570999999999,0.267300300000114,0.187718500000051
0.12656110000001,0.405225800000261,0.057699000000008,5.93000000000006E-05,0.164255400000019,0.246199400000099
0.0150928,0.268094100000115,0.070158900000006,0.20331300000006,0.394256200000219,0.049085000000002
0.000129,0.429327400000271,0.046460200000003,0.260103000000109,0.099747699999997,0.164232700000026
0.216862700000087,0.301019100000143,0.0132629,0.126467699999986,0.16259660000003,0.179791000000038
0.0066597,0.378960700000222,0.054306600000005,0.107236199999993,0.280973700000131,0.171863100000026
0.073513000000004,0.227584500000081,0.022868099999999,0.171784000000021,0.234656600000073,0.269593800000128
0.17912250000004,0.389777300000242,0.0028324,0.0036491,0.258083700000105,0.166535000000023
0.0371525,0.340441300000191,0.016592099999999,0.038468600000001,0.074640700000004,0.492704800000342
0.029034199999999,0.615882299999852,0.0048061,0.0011663,0.15666010000002,0.192451000000053
0.091122800000005,0.374512600000204,0.064278600000007,0.044009500000002,0.258299700000102,0.167776800000025
0.046963400000006,0.234874700000092,0.0074629,0.273194700000121,0.264036200000102,0.173468100000032
0.066807800000005,0.490228200000333,0.0209732,0.055508500000006,0.233242100000082,0.133240199999994
0.058849899999998,0.362549600000199,0.021609199999999,0.043550300000003,0.297140100000141,0.216300900000067
0.183247400000012,0.427538500000263,0.001475,0.079387300000003,0.196830200000047,0.111521599999999
0.018494,0.393797100000225,0.031386500000001,0.0786974,0.139082700000002,0.338542300000197
0.089624300000001,0.310416400000162,0.0092741,0.098656999999994,0.278870100000122,0.213158100000068
0.0068079,0.149188900000006,0.047811000000003,0.076100400000004,0.199063200000058,0.521028600000257
0.023811599999999,0.429732000000265,0.056858900000007,0.048864800000004,0.299492400000146,0.141240299999999
0.016703499999999,0.310365900000145,0.0222189,0.092401999999999,0.207286800000056,0.351022900000201
0.075975199999998,0.602591399999934,0.0006425,0.051261100000006,0.211562900000055,0.057966900000009
0.042563900000004,0.51631080000028,0.036819500000001,0.113505199999995,0.247887900000092,0.042912700000001
0.116072500000005,0.40523760000024,0.0216822,0.198580000000052,0.136403399999996,0.122024299999987
0.087171500000008,0.51986070000025,0.019072499999999,0.095108199999999,0.151070700000007,0.127716399999987
0.145269199999992,0.2446415000001,0.017619699999999,9.39000000000014E-05,0.319504000000147,0.272871700000125
0.16355900000003,0.239606300000092,0.0298402,0.0088828,0.301578000000145,0.256533700000102
0.093132600000016,0.453904400000306,0.051527000000005,0.084362799999999,0.174815100000034,0.142258100000007
0.075826300000011,0.456258500000293,0.0042773,0.052695600000007,0.233977800000078,0.176964500000038
0.070872800000005,0.627103499999864,0.0145725,0.036130200000001,0.151807100000012,0.099513900000002
0.174292000000003,0.252489700000105,0.063018400000012,0.063871000000008,0.240030900000094,0.206298000000056
0.0919603,0.428118100000272,0.057218000000006,0.099634499999995,0.282877400000129,0.040191700000001
0.096893600000012,0.414444000000253,0.042554900000003,0.178855800000036,0.203949600000063,0.063302100000009
0.213669100000082,0.387657200000226,0.046968100000004,0.149311700000006,0.183380700000031,0.019013199999999
0.104902600000017,0.383159300000235,0.071525200000006,0.227084700000078,0.213224000000064,0.0001042
0.17590830000001,0.359213000000193,0.041551100000004,0.046073900000003,0.30472310000014,0.072530600000009
0.105081899999999,0.472983400000309,0.036838500000001,0.071701200000008,0.178857000000028,0.134538000000001
0.087276800000013,0.312021400000167,0.0016553,0.116009199999987,0.256718200000098,0.226319100000076
0.039528300000001,0.38217040000022,0.06618930000001,0.142382300000001,0.24469400000008,0.125035699999993
0.045680700000005,0.56304320000007,0.0169889,0.046942100000004,0.212936700000061,0.114408399999997
0.052665200000009,0.402839700000231,0.0320184,0.202875400000064,0.212410900000059,0.097190399999995
0.062681400000003,0.248352900000107,0.0008876,0.0127695,0.299058500000144,0.376250100000226
0.099125599999996,0.49827310000034,0.0009925,0.126670199999987,0.13320069999999,0.141737900000008
0.0384914,0.672927199999597,0.011031,0.027305799999999,0.184712600000034,0.065532000000006
0.066520900000001,0.461548500000293,0.085254200000005,0.115346699999995,0.209589700000059,0.061740000000007
0.025503,0.316609500000158,0.08745,0.022346699999999,0.247241100000101,0.30084970000016
0.050001,0.471373900000301,0.077659400000002,0.104582699999991,0.212121000000055,0.084262000000001
0.118330999999996,0.420551600000248,0.014980299999999,0.106523099999995,0.120800799999991,0.218813200000084
0.0267437,0.39491070000023,0.0051142,0.081255400000001,0.289504100000134,0.20247190000006
0.247640000000038,0.49286100000033,0.025555799999999,0.0001131,0.225777000000076,0.0080531
0.0105766,0.33349120000018,0.039809700000003,0.101570199999997,0.218772200000072,0.295780100000149
0.08313830000001,0.473196600000322,0.072165400000006,0.040174300000002,0.103989,0.227336400000091
0.039036000000004,0.41197890000025,0.041294000000002,0.046787200000003,0.247046700000086,0.213857200000065
0.082632200000009,0.424198800000263,0.0130055,0.128971299999989,0.268731800000109,0.082460400000002
0.220275400000077,0.332766500000176,0.038153800000001,0.071787300000006,0.170990800000032,0.166026200000025
0.061267500000008,0.384470500000228,0.030090599999999,0.048252200000004,0.24982600000009,0.22609320000007
0.071334599999998,0.369893100000212,0.044092700000002,0.118919899999986,0.162586200000025,0.233173500000079
0.106971400000019,0.454491300000293,0.0289048,0.024077499999999,0.199621100000057,0.185933900000048
0.074427200000007,0.248419800000107,0.000431,0.051503300000005,0.106821799999994,0.518396900000272
0.0089672,0.381825400000222,0.0001219,0.112252399999988,0.306519800000138,0.190313300000054
0.058364500000006,0.289012100000135,0.0149441,0.113777999999998,0.305652100000144,0.218249200000081
0.111245799999997,0.527042300000202,0.022995199999999,0.086717800000002,0.242108300000081,0.0098906
0.078521700000005,0.418607500000263,0.058365500000005,0.125422399999987,0.246746100000091,0.072336800000007
0.087051700000002,0.359634300000201,0.012278699999999,0.241834400000088,0.104572899999994,0.194628000000058
0.066806500000007,0.317684800000148,0.0817117,0.110315699999996,0.136320799999998,0.287160500000128
0.078781100000003,0.257574500000105,0.053788700000006,0.103985899999993,0.161346400000017,0.344523400000203
0.036608600000002,0.327490700000183,0.069536100000007,0.182674300000039,0.248796400000091,0.134893900000005
0.0059668,0.414897100000266,0.034857799999999,0.195215700000058,0.322652400000169,0.026410199999999
0.0523299,0.358376200000205,0.004181,0.031223099999999,0.16619030000002,0.387699500000237
0.081486400000001,0.295243700000136,0.027180099999999,0.018747,0.385587800000222,0.191755000000052
0.154118600000015,0.217510300000078,0.026843599999999,0.042185000000003,0.217708800000059,0.341633700000189
0.065327900000005,0.355476500000186,0.0044645,0.097113800000001,0.355375100000188,0.122242199999996
0.085504200000004,0.483949400000311,0.031634799999999,0.10993279999999,0.154003700000011,0.134975099999993
0.038968500000001,0.385235800000235,0.0082884,0.012115499999999,0.220846400000082,0.334545400000193
0.112976700000011,0.44726420000029,0.023297399999998,0.041107500000002,0.294533500000132,0.080820700000003
0.171429700000051,0.283763600000128,0.0024753,0.070135700000007,0.183377700000031,0.288818000000137
4.72000000000003E-05,0.227783800000084,0.030335999999999,0.141024499999997,0.275019300000114,0.325789200000183
0.059216399999999,0.330566600000172,0.054482700000007,0.161815700000018,0.160392200000018,0.233526400000089
0.069009300000008,0.353517800000193,0.0013601,0.0024325,0.238075200000089,0.335605100000193
0.113564099999995,0.397301000000235,0.0103542,0.089493500000002,0.228992400000081,0.16029480000002
0.106904500000019,0.512125100000291,0.0011651,0.14781680000001,0.117013599999992,0.114974899999991
0.037571200000002,0.557375100000081,0.0066031,0.040631300000002,0.20276600000005,0.155053300000009
0.014148,0.568182100000075,0.001952,0.086843500000002,0.22737020000007,0.101504199999998
0.182393400000077,0.328668600000164,0.0016302,0.076819500000005,0.153868800000016,0.256619500000108
0.162391000000036,0.222817800000061,0.013116999999999,0.030841399999999,0.239493500000077,0.331339300000186
0.128275300000024,0.376313200000227,0.0032237,0.046881000000005,0.124464799999992,0.320842000000178
0.039736599999999,0.214540100000059,0.064646500000011,0.119121299999991,0.408428100000231,0.153527400000001
0.170537800000023,0.370225000000202,0.0059949,0.066110400000008,0.205148600000069,0.18198330000004
0.076519100000006,0.443589800000278,0.025309099999999,0.050329500000005,0.195731300000044,0.208521200000071
0.061433100000004,0.324772400000165,0.030203699999999,0.072346800000006,0.273979600000111,0.237264400000099
0.0581675,0.260644900000121,0.127358799999984,0.063758600000009,0.24864840000009,0.241421800000105
0.0080715,0.440812100000275,0.0159152,0.0332805,0.248246100000095,0.2536746000001
0.024664299999999,0.549398800000133,0.068062400000007,5.82000000000006E-05,0.176219900000025,0.181596400000034
0.100679300000009,0.248605500000098,0.049021100000004,0.065492900000008,0.260198000000108,0.276003200000133
0.005813,0.356207300000199,0.0002415,0.039341200000001,0.150722200000006,0.447674800000299
0.055697500000006,0.333297400000172,0.056391800000005,0.116483499999987,0.241369600000089,0.196760200000044
0.043734400000001,0.359315400000199,0.0078498,0.067039100000007,0.204364800000053,0.31769650000016
0.083723400000004,0.582633499999979,0.0003444,0.065829400000008,0.156783300000023,0.110685999999996
0.139598299999998,0.387821100000213,0.0152805,0.126447199999986,0.250343200000091,0.080509700000003
0.122707400000012,0.337073400000195,0.022652699999999,0.028627599999999,0.241528300000086,0.247410600000105
0.014617799999999,0.397916000000229,0.0007858,0.0150707,0.224330500000064,0.347279200000194
0.101328599999993,0.438240700000283,0.0148656,0.0110954,0.266425900000122,0.16804380000003
0.145104700000023,0.265148600000113,0.0035505,0.21318340000007,0.18328180000004,0.189731000000051
0.151184700000014,0.416357000000257,0.0027654,0.01405,0.179671600000032,0.235971300000089
0.087932699999996,0.300271500000168,0.026380299999999,0.040941300000002,0.281477000000119,0.26299720000012
0.117477000000001,0.397496200000228,0.0058098,0.208797500000063,0.188929900000047,0.081489600000004
0.0044038,0.281754800000121,0.0049879,0.211390000000063,0.35352400000019,0.143939500000004
0.0323419,0.325031500000162,0.023318999999999,0.128850199999983,0.301199600000128,0.189257800000043
0.051989700000005,0.583226899999992,0.0086998,0.042016200000002,0.232440100000085,0.081627300000007
0.102628999999998,0.384072200000227,0.0003182,0.011615599999999,0.215385800000066,0.285979200000132
0.0140907,0.396403900000241,0.030642199999999,0.157467100000013,0.140745800000002,0.260650300000112
0.065995800000001,0.399469600000233,0.023199099999998,0.175635900000035,0.166273000000031,0.169426600000032
0.044584399999999,0.428960600000273,0.0260897,0.011114399999999,0.137513699999996,0.351737200000202
0.081694800000005,0.30890260000014,0.005723399999999,0.017991299999999,0.24461150000008,0.341076400000192
0.061663600000002,0.209037400000063,0.0004154,0.001012,0.209360800000064,0.518510800000283
0.130051700000019,0.291445300000151,0.124991899999989,0.075075900000007,0.327769500000174,0.050665700000003
